SupportTicketID,CustomerID,DateCreated,DateCompleted,Escalated,Theme,Theme_Desc,Text,Sentiment,Process Time
16582,10007217,2018-06-30,2018-04-07,1,price,"cost of the goods to customers.  compare to competitors, sales, discounts",A screwdriver costs over a hundred dollars? Why are your prices so inflated.,negative,-84
13830,10005984,2018-07-15,2018-07-18,0,speed,consider the delivery speed.,Anyway that I can rush overnight ship my order?,neutral,3
53794,10022738,2018-10-14,2018-10-18,0,features,"product features, website features, checkout features",Are the shelves removable from the wine fridge? How many bottles can I store? ,neutral,4
95013,10040142,2018-01-11,2018-10-11,0,price,"cost of the goods to customers.  compare to competitors, sales, discounts",Are there any Christmas sales coming up?,neutral,273
32660,10013924,2018-06-06,2018-06-06,1,design,"product design, website design",Are there any other colors in the bathroom sink faucet?,neutral,0
35923,10015285,2018-11-16,2018-11-22,0,support,"tech support, customer support, product support",Are there warranties provided on certain installations?,neutral,6
118593,10043929,2018-04-09,2018-10-09,0,reliability,"product reliability, website reliability, delivery reliability",Are these good for one time use? I have used it once and now it is not turning on? So what do we do now?,positive,183
27453,10011770,2018-01-10,2018-02-10,0,price,"cost of the goods to customers.  compare to competitors, sales, discounts",Are you able to price match on a washer machine that I found online from another retailer?,neutral,31
26017,10011116,2018-11-18,2018-11-22,0,speed,consider the delivery speed.,Are you guys delivering with donkeys or horses?,neutral,4
21258,10009132,2018-10-27,2018-10-28,0,speed,consider the delivery speed.,Are you using horses and buggies to delivery my goods?  The shipping speed is completely unacceptable.,negative,1
45575,10019284,2018-06-17,2018-06-21,0,speed,consider the delivery speed.,Been waiting for almost a month. Did you guys forget about my order?,negative,4
18193,10007892,2018-02-11,2018-06-11,0,features,"product features, website features, checkout features",Can I add a backup email address since I am not getting any emails on the one registered to my account?,neutral,120
42763,10018167,2018-09-14,2018-09-15,0,security,"consider payment info, login info and pii.",Can I add in more than one credit card in my account for payment methods?,neutral,1
100144,10040975,2018-05-21,2018-05-27,1,reliability,"product reliability, website reliability, delivery reliability",Can I buy a warranty for a product I just purchased or is it too late?,negative,6
34315,10014623,2018-01-10,2018-01-10,0,security,"consider payment info, login info and pii.","Can I change my password, my current one is not working. ",negative,0
123097,10044655,2018-10-15,2018-10-17,1,security,"consider payment info, login info and pii.",Can I delete one of the credit cards on my account?,neutral,2
9679,10004172,2018-05-23,2018-05-27,0,features,"product features, website features, checkout features",Can I get a  giftcard for the store online?,neutral,4
60662,10025661,2018-09-10,2018-11-10,0,services,"delivery services, installation services, account services, payment services, or lack there of",Can I get a quote for how much it will cost to get your team to assemble my furniture?,neutral,61
56885,10024046,2018-09-18,2018-09-19,1,speed,consider the delivery speed.,Can I get a refund for my product since it was never delivered to me?,neutral,1
46392,10019590,2018-06-23,2018-06-27,0,speed,consider the delivery speed.,Can I get an estimate for when my item will be delivered to me?,neutral,4
40771,10017326,2018-04-11,2018-05-11,0,security,"consider payment info, login info and pii.",Can I reroute my refund for the private to a different offshore bank account?,neutral,30
15656,10006759,2018-05-23,2018-05-27,0,services,"delivery services, installation services, account services, payment services, or lack there of",Can I schedule my delievery for another time and day?,neutral,4
24015,10010302,2018-11-10,2018-10-15,1,speed,consider the delivery speed.,Can the delivery man leave my item on the curbside instead?,neutral,-26
76809,10032544,2018-08-13,2018-08-16,0,features,"product features, website features, checkout features",Can you please add VR features to your mobile app so that I can actually envision things in my home?  That would be really cool.,positive,3
51099,10021610,2018-08-20,2018-08-22,0,price,"cost of the goods to customers.  compare to competitors, sales, discounts",Can you price match me on an oven that I found at Lowes for cheaper?,neutral,2
84056,10035726,2018-11-28,2018-11-29,0,price,"cost of the goods to customers.  compare to competitors, sales, discounts",Can you price match these pliers from Home Depot?,neutral,1
76994,10032615,2018-10-25,2018-10-28,0,speed,consider the delivery speed.,Can you provide the specific time when my shovel is supposed to get delivered? I have no clue.,neutral,3
54776,10023158,2018-08-08,2018-10-08,0,reliability,"product reliability, website reliability, delivery reliability",Can you replace a product if you are unable to repair it?,neutral,61
5865,10002546,2018-11-21,2018-11-21,0,services,"delivery services, installation services, account services, payment services, or lack there of",Can you send out someone for installation?  Thought I could do it myself but need some help.,neutral,0
108388,10042279,2018-05-27,2018-05-06,0,features,"product features, website features, checkout features",Can your notebooks have more grids?,neutral,-21
63789,10026941,2018-08-19,2018-08-19,0,price,"cost of the goods to customers.  compare to competitors, sales, discounts",Curtains for $105? You're kidding right - I can get these from Bed Bath & Beyond for much cheaper.,positive,0
43682,10018532,2018-10-18,2018-10-20,0,speed,consider the delivery speed.,"Delivery got here way too early, so someone stole my package.",negative,2
65556,10027723,2018-05-05,2018-05-05,0,speed,consider the delivery speed.,"Delivery was exceptionally late.  I reordered from somewhere else, so can you have someone come pick up the item and refund me?",negative,0
116705,10043632,2018-06-05,2018-12-05,0,speed,consider the delivery speed.,Devlivery speed was slow as molasses. ,negative,183
35192,10014966,2018-09-11,2018-10-11,0,features,"product features, website features, checkout features",Did a bunch of morons design the product features in my oven?  Like nothing works.  Why.,negative,30
77142,10032675,2018-11-13,2018-11-19,0,security,"consider payment info, login info and pii.","Did you share my email info with third parties?  After I placed an order, I've been getting so much spam.",negative,6
17890,10007771,2018-01-05,2018-04-05,0,price,"cost of the goods to customers.  compare to competitors, sales, discounts",Do these garden gnomes come with money inside them? Is that why they're so much more expensive than at Lowe's?,negative,90
15632,10006750,2018-12-08,2018-08-13,0,price,"cost of the goods to customers.  compare to competitors, sales, discounts",Do you guys match online pricing? ,neutral,-117
118310,10043883,2018-05-09,2018-12-09,0,support,"tech support, customer support, product support",Do you have 24/7 customer service provided?,neutral,214
124769,10044918,2018-12-05,2018-05-17,1,other,Just make up something!,Do you have a brick-and-mortar store or are you only online? Would love to go to a store in person.,positive,-202
110501,10042622,2018-11-20,2018-11-26,0,speed,consider the delivery speed.,Do you offer 1-day shipping and delivery? I need this tomorrow.,positive,6
47828,10020220,2018-11-26,2018-02-12,0,price,"cost of the goods to customers.  compare to competitors, sales, discounts",Do you offer holiday discounts?,neutral,-287
55272,10023373,2018-06-15,2018-06-18,1,price,"cost of the goods to customers.  compare to competitors, sales, discounts",Do you price match with local small businesses?,neutral,3
37678,10016026,2018-08-21,2018-08-21,0,price,"cost of the goods to customers.  compare to competitors, sales, discounts",Do you price match? This table is half the cost at Walmart! ,neutral,0
53683,10022704,2018-05-11,2018-09-11,0,support,"tech support, customer support, product support",Do you provide a video consulatation for installations within the home?,neutral,123
9887,10004279,2018-05-09,2018-08-09,0,price,"cost of the goods to customers.  compare to competitors, sales, discounts",Do you take competitors discounts? It's unclear on your website.,negative,92
91927,10039178,2018-01-09,2018-01-09,0,features,"product features, website features, checkout features",Does this Microwave have the feature where you can just hit a number and it puts in the minute?,neutral,0
17845,10007757,2018-09-18,2018-09-18,0,reliability,"product reliability, website reliability, delivery reliability",Does your company have data for the average lifespan of this juicer?,neutral,0
56718,10023981,2018-04-08,2018-05-08,1,other,Just make up something!,Doorknob broke after one use. Now I'm locked in my house.,negative,30
19226,10008314,2018-10-16,2018-10-16,0,services,"delivery services, installation services, account services, payment services, or lack there of","Even though, I created an account on your website, It is telling me now that I don't have an account. Who can fix that ? I need to check the status of my orders. ",positive,0
94384,10040039,2018-09-30,2018-07-10,0,features,"product features, website features, checkout features","Every time I log out of the application, and log back in, the checkout cart clears my basket history.  This is very frustrating.",negative,-82
61393,10025964,2018-01-09,2018-06-09,0,services,"delivery services, installation services, account services, payment services, or lack there of","Every time I try to checkout and submit the order, the screen just spins as a buffer, and I have to restart",neutral,151
138,10000069,2018-07-05,2018-11-05,0,price,"cost of the goods to customers.  compare to competitors, sales, discounts",Everything on your website is super expensive.  Do you have any coupons or discounts?,negative,123
